node_idx,feb_id,A_dynamic_dx,A_dynamic_dy,A_dynamic_dz,A_dynamic_mag,B_dynamic_dx,B_dynamic_dy,B_dynamic_dz,B_dynamic_mag,diff_dx,diff_dy,diff_dz,diff_mag
0,1,-0.0117614,-0.00772579,0.0146082,0.020283438,-1.52546e-15,-2.80447e-15,7.04523e-16,3.2693168e-15,-0.0117614,-0.00772579,0.0146082,0.020283438
1,2,-0.0104951,-0.00813467,0.0171863,0.0217184,-1.14343e-15,-9.70741e-16,2.2228e-15,2.6815312e-15,-0.0104951,-0.00813467,0.0171863,0.0217184
2,3,-0.0111875,-0.00853612,0.0144035,0.020136692,1.52314e-16,-1.16285e-15,4.26404e-15,4.4223815e-15,-0.0111875,-0.00853612,0.0144035,0.020136692
3,4,-0.0114535,-0.00892659,0.011895,0.018771194,-1.80504e-16,2.02054e-15,4.78395e-16,2.0842324e-15,-0.0114535,-0.00892659,0.011895,0.018771194
4,5,-0.0118067,-0.00802076,0.0122324,0.018797934,2.90637e-16,-9.98809e-16,2.94393e-15,3.1223087e-15,-0.0118067,-0.00802076,0.0122324,0.018797934
5,6,-0.0120993,-0.00852066,0.0103772,0.018074319,3.41106e-16,2.0674e-16,-2.95209e-16,4.9622885e-16,-0.0120993,-0.00852066,0.0103772,0.018074319
6,7,-0.0114527,-0.00894848,0.00964458,0.01744298,4.65537e-16,9.08033e-16,-1.56481e-15,1.8681218e-15,-0.0114527,-0.00894848,0.00964458,0.01744298
7,8,-0.0122856,-0.00898642,0.00867196,0.017518407,-1.53572e-15,-3.56472e-16,1.41875e-16,1.5829203e-15,-0.0122856,-0.00898642,0.00867196,0.017518407
8,9,-0.0117056,-0.00926703,0.00816066,0.017014561,-1.30087e-15,3.17582e-16,-2.7831e-15,3.0884894e-15,-0.0117056,-0.00926703,0.00816066,0.017014561
9,10,-0.0125605,-0.00834028,0.00960262,0.017875591,-1.57342e-15,-1.90796e-16,5.24622e-16,1.6695154e-15,-0.0125605,-0.00834028,0.00960262,0.017875591
10,11,-0.0123992,-0.00916614,0.00760909,0.017194666,-5.4556e-16,5.70714e-16,-5.14529e-16,9.423855e-16,-0.0123992,-0.00916614,0.00760909,0.017194666
11,12,-0.011785,-0.00953292,0.00686637,0.016640607,-4.77819e-16,-4.44728e-16,-8.38646e-16,1.0627422e-15,-0.011785,-0.00953292,0.00686637,0.016640607
12,13,-0.0122975,-0.00840362,0.00807773,0.016943997,-9.34161e-16,-5.4568e-16,-5.27981e-17,1.0831487e-15,-0.0122975,-0.00840362,0.00807773,0.016943997
13,14,-0.012354,-0.00960936,0.00645787,0.01693119,3.16517e-16,-2.94463e-16,4.54288e-17,4.3468984e-16,-0.012354,-0.00960936,0.00645787,0.01693119
14,15,-0.011939,-0.00984142,0.0056601,0.016475134,-1.03218e-15,-9.11663e-16,1.20238e-15,1.8281802e-15,-0.011939,-0.00984142,0.0056601,0.016475134
15,16,-0.0121676,-0.00900769,0.00696647,0.016664954,-4.21863e-16,-2.50606e-16,2.12664e-15,2.1825144e-15,-0.0121676,-0.00900769,0.00696647,0.016664954
16,17,-0.0128634,-0.0102293,0.00528976,0.017265202,3.62152e-16,-2.33418e-17,-4.34849e-16,5.663855e-16,-0.0128634,-0.0102293,0.00528976,0.017265202
17,18,-0.0123846,-0.0104082,0.00459782,0.016818112,1.0356e-15,-1.06623e-15,1.42199e-15,2.0570293e-15,-0.0123846,-0.0104082,0.00459782,0.016818112
18,19,-0.0122877,-0.00948555,0.00587923,0.016599054,-8.93784e-16,-1.81701e-15,8.75464e-16,2.2060852e-15,-0.0122877,-0.00948555,0.00587923,0.016599054
19,20,-0.0122321,-0.0107825,0.00328144,0.016632931,1.44922e-15,8.14871e-16,-1.891e-15,2.5179623e-15,-0.0122321,-0.0107825,0.00328144,0.016632931
20,21,-0.0121819,-0.0102268,0.00396851,0.016393146,1.79114e-15,-5.33438e-16,7.09921e-16,1.9991816e-15,-0.0121819,-0.0102268,0.00396851,0.016393146
21,22,-0.0122806,-0.00991108,0.00474665,0.016479481,3.62837e-16,4.28991e-16,-6.70344e-16,8.746685e-16,-0.0122806,-0.00991108,0.00474665,0.016479481
22,23,-0.0123619,-0.0107992,0.00257147,0.016614806,9.14581e-16,9.20851e-16,-1.44362e-15,1.9412532e-15,-0.0123619,-0.0107992,0.00257147,0.016614806
23,24,-0.0119978,-0.0102279,0.00287872,0.016026359,1.1851e-15,-7.9614e-16,-2.82368e-15,3.1640907e-15,-0.0119978,-0.0102279,0.00287872,0.016026359
24,25,-0.0114478,-0.0107064,-0.000398294,0.015679214,-2.25503e-15,-2.41846e-15,7.01312e-16,3.380229e-15,-0.0114478,-0.0107064,-0.000398294,0.015679214
25,26,-0.0121343,-0.0114252,-0.00209413,0.016797673,-7.32415e-16,5.11295e-16,-6.88491e-16,1.127774e-15,-0.0121343,-0.0114252,-0.00209413,0.016797673
26,27,-0.0114878,-0.0106621,-0.00157495,0.015752155,-9.42196e-16,-5.87188e-17,-9.81145e-16,1.361553e-15,-0.0114878,-0.0106621,-0.00157495,0.015752155
27,28,-0.0123484,-0.0111261,0.00171208,0.016709408,2.83869e-16,2.13077e-15,3.45736e-16,2.177222e-15,-0.0123484,-0.0111261,0.00171208,0.016709408
28,29,-0.0120154,-0.0106321,0.00216375,0.016189292,-1.74199e-16,8.66906e-16,8.30317e-16,1.2129706e-15,-0.0120154,-0.0106321,0.00216375,0.016189292
29,30,-0.0124752,-0.0104616,0.00357427,0.016668865,6.07584e-16,-2.25115e-15,1.831e-15,2.9646913e-15,-0.0124752,-0.0104616,0.00357427,0.016668865
30,31,-0.0122644,-0.0109531,0.00122736,0.016489157,-1.05978e-15,-2.39496e-16,6.38439e-16,1.2601969e-15,-0.0122644,-0.0109531,0.00122736,0.016489157
31,32,-0.0119482,-0.0110479,0.000800783,0.016292846,-9.0986e-16,-3.10403e-16,2.37327e-15,2.560587e-15,-0.0119482,-0.0110479,0.000800783,0.016292846
32,33,-0.0118887,-0.0104283,0.00136955,0.015873445,-1.25576e-15,-6.57418e-16,1.90635e-15,2.3755634e-15,-0.0118887,-0.0104283,0.00136955,0.015873445
33,34,-0.0121588,-0.0110863,0.000140123,0.016454851,-2.2326e-16,-3.56151e-16,-6.01327e-16,7.3367755e-16,-0.0121588,-0.0110863,0.000140123,0.016454851
34,35,-0.0122025,-0.0107291,0.00019227,0.016249662,6.65232e-16,-7.62449e-16,3.98855e-15,4.1148988e-15,-0.0122025,-0.0107291,0.00019227,0.016249662
35,36,-0.0120204,-0.0109293,-0.0017045,0.016335389,-5.30402e-16,1.22168e-15,-3.96517e-15,4.1828698e-15,-0.0120204,-0.0109293,-0.0017045,0.016335389
36,37,-0.0121487,-0.0106213,-0.00177452,0.016234279,8.28496e-16,6.53534e-16,3.3245e-15,3.4879525e-15,-0.0121487,-0.0106213,-0.00177452,0.016234279
37,38,-0.0119853,-0.0112484,-0.00301242,0.016710734,1.18398e-15,3.34171e-16,2.02032e-16,1.246714e-15,-0.0119853,-0.0112484,-0.00301242,0.016710734
38,39,-0.0125078,-0.0114492,-0.00323948,0.017263357,-6.45948e-16,-3.2004e-16,2.34228e-16,7.579823e-16,-0.0125078,-0.0114492,-0.00323948,0.017263357
39,40,-0.0120167,-0.0112225,-0.0043348,0.017004002,4.51121e-16,-6.60262e-16,-6.09171e-16,1.0052589e-15,-0.0120167,-0.0112225,-0.0043348,0.017004002
40,41,-0.0124471,-0.011209,-0.00464868,0.01738339,8.60134e-16,1.86835e-16,-2.79612e-15,2.931386e-15,-0.0124471,-0.011209,-0.00464868,0.01738339
41,42,-0.0123691,-0.0108289,-0.00317964,0.016744249,-6.74523e-16,-2.79589e-16,9.71303e-17,7.3660404e-16,-0.0123691,-0.0108289,-0.00317964,0.016744249
42,43,-0.0122911,-0.0114401,-0.00576067,0.017751968,-2.01605e-17,-8.20394e-17,-1.55839e-15,1.5606781e-15,-0.0122911,-0.0114401,-0.00576067,0.017751968
43,44,-0.0121527,-0.0109046,-0.00599385,0.017393235,-4.38938e-16,-6.25915e-16,1.7005e-15,1.86444e-15,-0.0121527,-0.0109046,-0.00599385,0.017393235
44,45,-0.0123606,-0.0107423,-0.00474635,0.0170502,3.73268e-16,-4.85357e-16,-1.34883e-15,1.4812977e-15,-0.0123606,-0.0107423,-0.00474635,0.0170502
45,46,-0.0125737,-0.0117675,-0.00731643,0.018711017,4.54709e-16,-3.69998e-16,1.01219e-15,1.1696954e-15,-0.0125737,-0.0117675,-0.00731643,0.018711017
46,47,-0.0123625,-0.0110035,-0.00701457,0.017975332,2.31568e-17,-5.54664e-16,1.33831e-15,1.4488831e-15,-0.0123625,-0.0110035,-0.00701457,0.017975332
47,48,-0.0123186,-0.0104803,-0.00573925,0.01716169,-6.10913e-16,-1.26824e-15,7.03785e-16,1.5738363e-15,-0.0123186,-0.0104803,-0.00573925,0.01716169
48,49,-0.0121353,-0.0113336,-0.0087686,0.018777762,1.58782e-17,7.87972e-16,1.97958e-17,7.883805e-16,-0.0121353,-0.0113336,-0.0087686,0.018777762
49,50,-0.0124247,-0.0109594,-0.00825772,0.018511388,6.99064e-16,1.7711e-15,1.32471e-15,2.3195565e-15,-0.0124247,-0.0109594,-0.00825772,0.018511388
50,51,-0.0130174,-0.0111251,-0.00722468,0.018585386,-2.62092e-16,-9.66387e-16,-1.72208e-15,1.992023e-15,-0.0130174,-0.0111251,-0.00722468,0.018585386
51,52,-0.011862,-0.0111558,-0.00987448,0.019043747,1.17118e-15,1.67697e-15,-1.10555e-15,2.325109e-15,-0.011862,-0.0111558,-0.00987448,0.019043747
52,53,-0.0122739,-0.0109477,-0.00982477,0.019157944,-1.43992e-15,5.79645e-17,-1.88833e-15,2.3753989e-15,-0.0122739,-0.0109477,-0.00982477,0.019157944
53,54,-0.0128354,-0.0107614,-0.00814988,0.018627286,-1.0099e-15,-3.36998e-16,3.22826e-16,1.1125117e-15,-0.0128354,-0.0107614,-0.00814988,0.018627286
54,55,-0.0116177,-0.0109357,-0.0108598,0.019300148,2.28289e-16,4.62809e-16,2.25363e-15,2.3119595e-15,-0.0116177,-0.0109357,-0.0108598,0.019300148
55,56,-0.0121213,-0.0106973,-0.0108035,0.01944412,-1.09569e-16,-6.1172e-16,-2.62097e-15,2.6936389e-15,-0.0121213,-0.0106973,-0.0108035,0.01944412
56,57,-0.0131235,-0.0110655,-0.0108558,0.020310586,-1.16481e-15,4.08717e-16,1.03896e-15,1.6134651e-15,-0.0131235,-0.0110655,-0.0108558,0.020310586
57,58,-0.011615,-0.0111537,-0.011709,0.019910146,2.221e-17,6.7296e-16,8.72347e-16,1.101979e-15,-0.011615,-0.0111537,-0.011709,0.019910146
