node_idx,feb_id,A_static_dx,A_static_dy,A_static_dz,A_static_mag,B_static_dx,B_static_dy,B_static_dz,B_static_mag,diff_dx,diff_dy,diff_dz,diff_mag
0,1,-0.0375836,-0.0371247,0.439773,0.44293457,1.16043e-14,-4.31254e-15,2.51331e-14,2.8016613e-14,-0.0375836,-0.0371247,0.439773,0.44293457
1,2,-0.0353404,-0.0391293,0.448579,0.45166713,1.19813e-14,-2.78758e-15,2.8034e-14,3.061417e-14,-0.0353404,-0.0391293,0.448579,0.45166713
2,3,-0.0356344,-0.040019,0.439414,0.44266915,1.34415e-14,-2.76564e-15,2.90926e-14,3.2166784e-14,-0.0356344,-0.040019,0.439414,0.44266915
3,4,-0.0358881,-0.0408365,0.43,0.43342307,1.31418e-14,1.04859e-15,2.44509e-14,2.7778644e-14,-0.0358881,-0.0408365,0.43,0.43342307
4,5,-0.0378445,-0.0379092,0.43039,0.43371058,1.35939e-14,-1.82688e-15,2.64286e-14,2.977587e-14,-0.0378445,-0.0379092,0.43039,0.43371058
5,6,-0.0380892,-0.0387314,0.420885,0.42437613,1.35518e-14,-1.34866e-16,2.22751e-14,2.6073926e-14,-0.0380892,-0.0387314,0.420885,0.42437613
6,7,-0.035994,-0.0415791,0.420462,0.42404327,1.37679e-14,5.03354e-16,2.13881e-14,2.544129e-14,-0.035994,-0.0415791,0.420462,0.42404327
7,8,-0.0381426,-0.0395408,0.411232,0.41488564,1.1364e-14,-3.88831e-16,2.17946e-14,2.4582438e-14,-0.0381426,-0.0395408,0.411232,0.41488564
8,9,-0.0360182,-0.0423753,0.410836,0.41458318,1.1763e-14,3.20377e-16,1.92481e-14,2.2560145e-14,-0.0360182,-0.0423753,0.410836,0.41458318
9,10,-0.0401689,-0.0367702,0.41159,0.415177,1.12093e-14,-1.61957e-16,2.19173e-14,2.4617933e-14,-0.0401689,-0.0367702,0.41159,0.415177
10,11,-0.0381982,-0.0403463,0.401581,0.40540624,1.20488e-14,7.28056e-16,2.03419e-14,2.3653678e-14,-0.0381982,-0.0403463,0.401581,0.40540624
11,12,-0.0359929,-0.0431315,0.4012,0.40511388,1.22882e-14,-3.37436e-16,2.02814e-14,2.3716004e-14,-0.0359929,-0.0431315,0.4012,0.40511388
12,13,-0.0403121,-0.0375499,0.401912,0.4056702,1.15134e-14,-3.63926e-16,2.06376e-14,2.363475e-14,-0.0403121,-0.0375499,0.401912,0.4056702
13,14,-0.0382509,-0.0411526,0.391972,0.39597818,1.29767e-14,-2.8117e-16,2.01347e-14,2.3955791e-14,-0.0382509,-0.0411526,0.391972,0.39597818
14,15,-0.0360283,-0.0439208,0.391597,0.39569595,1.18275e-14,-8.13353e-16,2.15839e-14,2.4625516e-14,-0.0360283,-0.0439208,0.391597,0.39569595
15,16,-0.0404429,-0.0384079,0.39232,0.3962648,1.20161e-14,-4.09646e-16,2.20814e-14,2.5142448e-14,-0.0404429,-0.0384079,0.39232,0.3962648
16,17,-0.0383555,-0.041974,0.382407,0.386611,1.31249e-14,-1.27756e-16,1.89021e-14,2.3012359e-14,-0.0383555,-0.041974,0.382407,0.386611
17,18,-0.0361131,-0.0447207,0.382033,0.38633314,1.4019e-14,-1.02536e-15,2.09587e-14,2.5235903e-14,-0.0361131,-0.0447207,0.382033,0.38633314
18,19,-0.040569,-0.0392498,0.382763,0.38690296,1.15434e-14,-2.1012e-15,2.02555e-14,2.340834e-14,-0.040569,-0.0392498,0.382763,0.38690296
19,20,-0.0359901,-0.0453127,0.372468,0.37693626,1.42224e-14,1.33016e-15,1.68789e-14,2.2112061e-14,-0.0359901,-0.0453127,0.372468,0.37693626
20,21,-0.0382327,-0.0425785,0.372835,0.37720102,1.43437e-14,-2.67569e-16,1.91728e-14,2.3945974e-14,-0.0382327,-0.0425785,0.372835,0.37720102
21,22,-0.0405198,-0.0399233,0.373195,0.37750527,1.24549e-14,5.16028e-16,1.80517e-14,2.1937518e-14,-0.0405198,-0.0399233,0.373195,0.37750527
22,23,-0.035852,-0.0458702,0.362884,0.3675245,1.34116e-14,1.52637e-15,1.66494e-14,2.1433696e-14,-0.035852,-0.0458702,0.362884,0.3675245
23,24,-0.0381546,-0.0431993,0.363248,0.36779213,1.33556e-14,-2.79709e-16,1.5012e-14,2.0095035e-14,-0.0381546,-0.0431993,0.363248,0.36779213
24,25,-0.0356969,-0.0479289,0.334159,0.33946088,8.51853e-15,-3.15588e-15,1.63392e-14,1.8694768e-14,-0.0356969,-0.0479289,0.334159,0.33946088
25,26,-0.0332417,-0.0508903,0.324195,0.32984424,9.95679e-15,-4.24051e-16,1.43194e-14,1.7445994e-14,-0.0332417,-0.0508903,0.324195,0.32984424
26,27,-0.0355317,-0.048439,0.324535,0.3300482,9.5162e-15,-9.81633e-16,1.39844e-14,1.6943586e-14,-0.0355317,-0.048439,0.324535,0.3300482
27,28,-0.0357363,-0.0464664,0.35329,0.35812014,1.21893e-14,2.58762e-15,1.75804e-14,2.1548672e-14,-0.0357363,-0.0464664,0.35329,0.35812014
28,29,-0.03807,-0.0438239,0.353644,0.35837683,1.15123e-14,1.19966e-15,1.79366e-14,2.1346989e-14,-0.03807,-0.0438239,0.353644,0.35837683
29,30,-0.0404394,-0.040551,0.363607,0.36808935,1.23795e-14,-2.11254e-15,1.9752e-14,2.340633e-14,-0.0404394,-0.040551,0.363607,0.36808935
30,31,-0.0380388,-0.0445245,0.344063,0.3490111,1.00986e-14,-3.48429e-16,1.69063e-14,1.969584e-14,-0.0380388,-0.0445245,0.344063,0.3490111
31,32,-0.0356716,-0.0471572,0.343729,0.3487777,1.04336e-14,-3.98114e-16,1.88799e-14,2.1574734e-14,-0.0356716,-0.0471572,0.343729,0.3487777
32,33,-0.0403877,-0.0419211,0.34442,0.34930456,9.64129e-15,-8.01299e-16,1.79359e-14,2.037874e-14,-0.0403877,-0.0419211,0.34442,0.34930456
33,34,-0.038044,-0.0452636,0.334504,0.33968967,1.05141e-14,-9.37623e-16,1.49147e-14,1.8272212e-14,-0.038044,-0.0452636,0.334504,0.33968967
34,35,-0.0403707,-0.0426288,0.334873,0.33998078,1.12519e-14,-1.27551e-15,1.92477e-14,2.233173e-14,-0.0403707,-0.0426288,0.334873,0.33998078
35,36,-0.0378643,-0.0457859,0.324941,0.3303282,9.78206e-15,5.7894e-16,1.09154e-14,1.4668668e-14,-0.0378643,-0.0457859,0.324941,0.3303282
36,37,-0.0401599,-0.0431416,0.325343,0.33063892,1.10362e-14,2.24346e-16,1.81418e-14,2.1236124e-14,-0.0401599,-0.0431416,0.325343,0.33063892
37,38,-0.0352762,-0.0487981,0.315026,0.32072893,1.14403e-14,-5.81348e-16,1.46281e-14,1.857955e-14,-0.0352762,-0.0487981,0.315026,0.32072893
38,39,-0.0375637,-0.0461546,0.31542,0.3209845,9.40178e-15,-1.05926e-15,1.46309e-14,1.7423512e-14,-0.0375637,-0.0461546,0.31542,0.3209845
39,40,-0.0349487,-0.0491173,0.305494,0.31138483,1.02768e-14,-1.60528e-15,1.34725e-14,1.7020512e-14,-0.0349487,-0.0491173,0.305494,0.31138483
40,41,-0.0372139,-0.0464828,0.305886,0.31162763,1.05496e-14,-5.95271e-16,1.12267e-14,1.5417108e-14,-0.0372139,-0.0464828,0.305886,0.31162763
41,42,-0.0398369,-0.0435272,0.315823,0.32128766,9.12683e-15,-8.87078e-16,1.45345e-14,1.7185389e-14,-0.0398369,-0.0435272,0.315823,0.32128766
42,43,-0.0345773,-0.0494218,0.29594,0.30202416,9.44782e-15,-8.54176e-16,1.21863e-14,1.5443344e-14,-0.0345773,-0.0494218,0.29594,0.30202416
43,44,-0.0368198,-0.0467743,0.296339,0.30225873,8.881e-15,-1.27646e-15,1.54892e-14,1.7900191e-14,-0.0368198,-0.0467743,0.296339,0.30225873
44,45,-0.0394483,-0.0438453,0.306289,0.31191587,9.79713e-15,-1.159e-15,1.26303e-14,1.6026588e-14,-0.0394483,-0.0438453,0.306289,0.31191587
45,46,-0.0341695,-0.0497004,0.286383,0.29266518,9.69081e-15,-9.49384e-16,1.45141e-14,1.7477763e-14,-0.0341695,-0.0497004,0.286383,0.29266518
46,47,-0.0363962,-0.0470273,0.286789,0.29288936,9.15272e-15,-8.87734e-16,1.47551e-14,1.738601e-14,-0.0363962,-0.0470273,0.286789,0.29288936
47,48,-0.0390431,-0.0441341,0.296742,0.30253592,8.41418e-15,-1.88811e-15,1.42584e-14,1.6663295e-14,-0.0390431,-0.0441341,0.296742,0.30253592
48,49,-0.0336875,-0.0499015,0.276836,0.28330758,8.88356e-15,6.09977e-16,1.3071e-14,1.5815838e-14,-0.0336875,-0.0499015,0.276836,0.28330758
49,50,-0.0359173,-0.0472051,0.277238,0.2835124,9.47244e-15,1.83513e-15,1.43081e-14,1.7257361e-14,-0.0359173,-0.0472051,0.277238,0.2835124
50,51,-0.0386011,-0.0443616,0.287205,0.2931633,8.59658e-15,-1.18035e-15,1.13806e-14,1.431127e-14,-0.0386011,-0.0443616,0.287205,0.2931633
51,52,-0.0331706,-0.0500564,0.26728,0.2739426,9.61876e-15,1.62084e-15,1.14382e-14,1.5032634e-14,-0.0331706,-0.0500564,0.26728,0.2739426
52,53,-0.0354249,-0.0473788,0.267627,0.27408737,6.79813e-15,2.00291e-16,1.051e-14,1.2518578e-14,-0.0354249,-0.0473788,0.267627,0.27408737
53,54,-0.038115,-0.0445236,0.277684,0.28380188,7.50015e-15,-2.50595e-16,1.29448e-14,1.4962717e-14,-0.038115,-0.0445236,0.277684,0.28380188
54,55,-0.0324419,-0.0500644,0.257813,0.26462513,8.18846e-15,3.83982e-16,1.41965e-14,1.6393259e-14,-0.0324419,-0.0500644,0.257813,0.26462513
55,56,-0.0346938,-0.0474551,0.258072,0.26468244,7.75635e-15,-5.05276e-16,9.24279e-15,1.2076648e-14,-0.0346938,-0.0474551,0.258072,0.26468244
56,57,-0.0368253,-0.0448216,0.258373,0.264805,6.53755e-15,4.7682e-16,1.27957e-14,1.4376956e-14,-0.0368253,-0.0448216,0.258373,0.264805
57,58,-0.0316293,-0.050074,0.248407,0.25537005,7.65709e-15,5.55951e-16,1.23386e-14,1.4532073e-14,-0.0316293,-0.050074,0.248407,0.25537005
58,59,-0.0339732,-0.047585,0.248618,0.2554005,7.18954e-15,-8.65432e-16,1.17983e-14,1.384335e-14,-0.0339732,-0.047585,0.248618,0.2554005
59,60,-0.0466857,-0.0177409,0.441558,0.44437346,1.16302e-14,1.88292e-15,2.04119e-14,2.3568043e-14,-0.0466857,-0.0177409,0.441558,0.44437346
60,61,-0.0453843,-0.0204545,0.447582,0.45034185,1.11887e-14,-1.25146e-15,2.85e-14,3.064316e-14,-0.0453843,-0.0204545,0.447582,0.45034185
61,62,-0.0457973,-0.0214316,0.440968,0.44385752,1.22771e-14,-1.21521e-15,2.62172e-14,2.897491e-14,-0.0457973,-0.0214316,0.440968,0.44385752
